station_id,station_name,latitude,longitude,empty_slots,free_bikes,timestamp,station_uid,renting,returning,last_updated
d84b81badb9e1939412bd973a5491ea8,Kolveniersgang 133,51.0613672,3.715495,2,2,2024-04-18 00:29:30.659000+00:00,12402,1,1,1713368628
c961c25534b587be5324fbf45a4f39f0,Molenaarsstraat 125,51.0641446,3.7186509,1,2,2024-04-18 00:29:30.663000+00:00,12401,1,1,1713378225
1fd680ff48ed74e28e852392f5960c12,Opgeëistenlaan 457,51.0649386,3.7175553,8,0,2024-04-18 00:29:31.251000+00:00,12393,1,1,1713200401
25b9117c7543fb5fbb32dc2ff13e0d99,Tondelierlaan,51.066051,3.7155223,3,0,2024-04-18 00:29:31.268000+00:00,28489,1,1,1711930725
4fb2d710c4c0bcbfd820658a7cf3582b,Bombaystraat,51.0768428,3.7286531,3,1,2024-04-18 00:29:30.475000+00:00,28490,1,1,1713386732
2459061a75c4d843bac38e5962b579e4,De Waterspiegel,51.0858467,3.7272912,2,1,2024-04-18 00:29:31.168000+00:00,28491,1,1,1713355228
0f6728e92437a8e0bd6be2a5df846d1e,Visserij - Tweebruggenstraat,51.0489453,3.7378373,3,1,2024-04-18 00:29:30.455000+00:00,28494,1,1,1713390193
cd32c020839c22b3edbe6be8b23d268c,Gebroeders Van Eyckstraat,51.0532448,3.7336292,0,3,2024-04-18 00:29:30.482000+00:00,28493,1,1,1713342732
e5cfc96474e073b8409dfadb940aa9ed,Zalmstraat 71,51.0471478,3.7440942,2,2,2024-04-18 00:29:30.464000+00:00,28495,1,1,1713386163
7e50d19a9f3bd5105a2f384d85194519,Clarissenstraat,51.0440489,3.7360865,3,0,2024-04-18 00:29:30.468000+00:00,28496,1,1,1710834099
802a950e251aac934c7c0e382fbea282,Frederik Burvenichstraat 184,51.0406115,3.7557693,3,0,2024-04-18 00:29:31.319000+00:00,12768,1,1,1713057187
63b7edd173f2c591d31d6c353c47bc9e,Hendrik Waelputstraat14,51.0431988,3.7359775,3,0,2024-04-18 00:29:30.473000+00:00,28497,1,1,1713217207
1db0822ee66df4367df7cd46b9192aa9,Tuinwijklaan-Voskeslaan,51.0317333,3.707246,5,1,2024-04-18 00:29:31.185000+00:00,28502,1,1,1713382569
57c9a1470ab221967af26469f843acae,Rerum-Novarumplein,51.0232117,3.7203362,3,0,2024-04-18 00:29:31.186000+00:00,28503,1,1,1713093172
4b4315cfa207008c49fd231b5f8dd61d,Blok E artevelde,51.0419757,3.7243206,2,1,2024-04-18 00:29:31.333000+00:00,23906,1,1,1713336551
2a2ea60ba5d2b374589dcfab27a2160e,Zwijnaardsesteenweg 316d,51.0292757,3.7222556,2,2,2024-04-18 00:29:30.903000+00:00,13217,1,1,1713370671
bbe7a2ab620ae3320d04dedddcb9345d,Steenakker 78,51.0228408,3.7227056,3,0,2024-04-18 00:29:31.038000+00:00,28504,1,1,1713155350
d7e96d6450b9e19aefcd10b6bc1b5134,Adolf Baeyensstraat 186,51.0530727,3.7551516,2,1,2024-04-18 00:29:30.369000+00:00,13248,1,1,1712960007
c0a7097988f9176aa6ce60305b082284,Station Dampoort,51.0566701,3.7401091,20,3,2024-04-18 00:29:31.376000+00:00,17178,1,1,1713389352
17811174d4c7ed6b666c826fefd30903,Krommenelleboog,51.049723,3.7140122,3,0,2024-04-18 00:29:30.732000+00:00,28522,1,1,1713123183
de5ac9fc0737dbe60a2fda6017880118,Pieter Colpaertsteeg 52,51.0541799,3.7063884,3,0,2024-04-18 00:29:31.292000+00:00,28541,1,1,1713285289
d92e0942624a23c106b3fad7ba3ec18a,Coupure rechts 912,51.056075,3.7090817,3,1,2024-04-18 00:29:30.745000+00:00,28554,1,1,1713394148
3f41a259ee828855d58f51842c4c1142,Engelstraat 77/79,51.0547317,3.7506187,0,4,2024-04-18 00:29:30.974000+00:00,16685,1,1,1713387633
6910652fda628790ce2c55f352706a9c,Tarbotstraat 14,51.0449617,3.7410694,3,0,2024-04-18 00:29:30.560000+00:00,28567,1,1,1713367369
f6812b632313589325d1140b64d1b2f4,Armand Heinsstraat 61,51.0271622,3.7313799,1,3,2024-04-18 00:29:31.034000+00:00,12144,1,1,1713393584
e44ad2d4e378455b8be0c43103bfb7bb,De Pintelaan 137,51.0279458,3.7249487,3,0,2024-04-18 00:29:30.360000+00:00,13228,1,1,1713198930
b6444db9caf8058bc94fc207ebbea301,UGent Campus Dunant,51.0491181,3.7034175,7,9,2024-04-18 00:29:30.992000+00:00,12434,1,1,1713390281
adb778577785d1168ab93a67034668b5,Rozendaalken,51.0481605,3.7226288,3,0,2024-04-18 00:29:31.389000+00:00,28756,1,1,1713021062
bf64b71006b43dd162b7740c6e57a371,Amelia Earhartlaan Park Inside,51.0302737,3.6890922,2,1,2024-04-18 00:29:31.142000+00:00,28764,1,1,1713127135
9ed458708a7e717d92a58ec43375d61e,Residence Du Sud,51.0415554,3.7356781,3,0,2024-04-18 00:29:31.203000+00:00,28815,1,1,1713351507
3ad1c6be872e2c947e5da9e72893787d,Jules de Saint-Genoisstraat 112,51.0279846,3.7565222,1,1,2024-04-18 00:29:30.498000+00:00,28816,1,1,1712943705
6e0bc745f53a2806d9499b8737557d11,Skate & Parkour,51.0492256,3.6875757,6,10,2024-04-18 00:29:30.675000+00:00,12179,1,1,1713375195
e70ed60da01e0c5b3cfff1978212f92a,Frans Tavernierstraat,51.0486582,3.7207245,2,1,2024-04-18 00:29:30.680000+00:00,28826,1,1,1713203860
62f39a1526ab1e751dde2f508439439f,Nieuwbrugkaai 79,51.0548227,3.7335079,4,0,2024-04-18 00:29:31.346000+00:00,12115,1,1,1713385729
